S. No,Identified Phishing/Suspected Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
1,agvb-digital.com,PNB sponsored AGVB RRB,Phishing
2,sbzsaee.replit.app/,State Bank of India (SBI),Phishing
3,sbi.adminlogin.in,State Bank of India (SBI),Phishing
4,parvez-2001.github.io/basic-javascript-4/,State Bank of India (SBI),Phishing
5,lzesa.replit.app,State Bank of India (SBI),Phishing
6,sii8uyth.web.app/,State Bank of India (SBI),Phishing
7,p1-nr4d.vercel.app,State Bank of India (SBI),Phishing
8,lcswq.replit.app/,State Bank of India (SBI),Phishing
9,edvfb.pages.dev/,State Bank of India (SBI),Phishing
10,activenetbanking.co.in/new-registration/,State Bank of India (SBI),Phishing
11,cardcaresapplication.in/sbibank,State Bank of India (SBI),Phishing
12,yonomyapp.com,State Bank of India (SBI),Phishing
13,bnkrewrdzs-s.replit.app/login.html,State Bank of India (SBI),Phishing
14,sblankt.vercel.app/login,State Bank of India (SBI),Phishing
15,applyonlinesolution.site/sbibank,State Bank of India (SBI),Phishing
16,cgfy89dtfy.vercel.app/,State Bank of India (SBI),Phishing
17,cardworldsbi.in/,State Bank of India (SBI),Phishing
18,fastcardssolutions.online/sbibank,State Bank of India (SBI),Phishing
19,nsbl.replit.app/login.html,State Bank of India (SBI),Phishing
20,rsewe.replit.app/login.html,State Bank of India (SBI),Phishing
21,nsbl.replit.app/,State Bank of India (SBI),Phishing
22,rebrand.ly/u6n,State Bank of India (SBI),Phishing
23,msfy.in/Limitupgradeinstant,State Bank of India (SBI),Phishing
24,26a52502-c868-4d8e-ac2f-b0ea64abaf2a-00-27xss7mit6q1a.sisko.replit.dev/,State Bank of India (SBI),Phishing
25,hrmssbi.com,State Bank of India (SBI),Phishing
26,clone-for-educational-purpose.vercel.app/,State Bank of India (SBI),Phishing
27,sbicreditcardw.wixsite.com/sbicreditcard,State Bank of India (SBI),Phishing
28,5d16a33e-8d20-46d4-be2b-af5cfdb73cfc-00-2kidm7qld9lho.pike.replit.dev/,State Bank of India (SBI),Phishing
29,iamankit19.github.io/SBI-Clone/,State Bank of India (SBI),Phishing
30,sb-p-tbjh.vercel.app/bbx,State Bank of India (SBI),Phishing
31,87a5f526-970a-4945-92c1-c9a1f1d6f28e-00-2y8umi17mu65w.sisko.replit.dev/,State Bank of India (SBI),Phishing
32,779fbf59-c116-475e-9fa8-8feae4f38333-00-nypqd7g26a7.sisko.replit.dev/,State Bank of India (SBI),Phishing
33,sb-murex-alpha.vercel.app,State Bank of India (SBI),Phishing
34,ysupdateverfyall.wixsite.com/my-site-1,State Bank of India (SBI),Phishing
35,24e2705d-933e-4e13-a722-9a5d9a7f80c3-00-1hkqh38jos5xo.sisko.replit.dev,State Bank of India (SBI),Phishing
36,sbicardonlineuse.wixsite.com/sbicard,State Bank of India (SBI),Phishing
37,updateverifying66.wixsite.com/my-site-2,State Bank of India (SBI),Phishing
38,customer-cares.site/sbi-credit-card,State Bank of India (SBI),Phishing
