S. No,Identified Phishing/Suspected Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
1,hXXps://ifsc[.]bankifsccode[.]com ,State Bank of India,Phishing
2,hXXps://ifsc[.]bankifsccode[.]com/SBIN0040524 ,State Bank of India,Phishing
3,rebrand[.]ly/yad ,State Bank of India,Phishing
4,hXXps://sbicreditcardenqui62[.]wixsite[.]com/my-site-1 ,State Bank of India,Phishing
5,hdfcc.cfd/in,HDFC Bank,Phishing
6,https://demo.goyattrading.shop/,HDFC Bank,Phishing
7,https://card.wingclaimrewards.com/,HDFC Bank,Phishing
8,teamrecruitmentteam.in,HDFC Bank,Phishing
9,https://m2.emallcart.online/,HDFC Bank,Phishing
10,https://hdfccampaign.credithorse.in,HDFC Bank,Phishing
11,https://hdfc.ramgopal.in/netbanking,HDFC Bank,Phishing
12,supportcc.co.in,HDFC Bank,Phishing
13,https://gamweb.in/hdfc,HDFC Bank,Phishing
14,https://m2.dc7.live/,HDFC Bank,Phishing
15,https://upgradelimitapplication.in,HDFC Bank,Phishing
16,https://a2.dc2.live/,HDFC Bank,Phishing
17,https://myrewardcredit.co.in/,HDFC Bank,Phishing
18,prodv2.devhdfcbank.com,HDFC Bank,Phishing
19,https://online.wingoffercards.com/,HDFC Bank,Phishing
20,https://www.a2.dcwo.live/,HDFC Bank,Phishing
21,https://supportcreditcard.com/hdfc/,HDFC Bank,Phishing
22,https://payments.rbtv.workers.dev/icicibank,HDFC Bank,Phishing
23,http://prod.devhdfcbank.com,HDFC Bank,Phishing
24,https://www.hdfcredeempoint.in,HDFC Bank,Phishing
25,mail.hdfcredeempoint.in,HDFC Bank,Phishing
26,https://staging.devhdfcbank.com,HDFC Bank,Phishing
27,https://tooter.in/hdfc,HDFC Bank,Phishing
28,www.hdfcmoneymarket.in,HDFC Bank,Phishing
29,https://unlockfreedom.in,HDFC Bank,Phishing
30,https://click2fingage.com,HDFC Bank,Phishing
31,https://hdfcdebitc.wixsite.com/my-site,HDFC Bank,Phishing
32,https://hdfc-neu-4-six.vercel.app,HDFC Bank,Phishing
33,https://hdfc-31394.zendesk.com,HDFC Bank,Phishing
34,https://hdfc-43827.zendesk.com,HDFC Bank,Phishing
35,https://hdfc-93839.zendesk.com,HDFC Bank,Phishing
36,hdfc-17906.zendesk.com,HDFC Bank,Phishing
37,hdfc-56319.zendesk.com,HDFC Bank,Phishing
38,hdfc-93839.zendesk.com,HDFC Bank,Phishing
39,hdfc-53453.zendesk.com,HDFC Bank,Phishing
40,hdfc-91046.zendesk.com,HDFC Bank,Phishing
41,hdfc-31394.zendesk.com,HDFC Bank,Phishing
42,hdfc-43827.zendesk.com,HDFC Bank,Phishing
43,hdfc-37820.zendesk.com,HDFC Bank,Phishing
44,hdfc-27586.zendesk.com,HDFC Bank,Phishing
45,https://youtube.220913.xyz/hdfcbank,HDFC Bank,Phishing
46,https://hdfcbank.speedynet.in/index.php,HDFC Bank,Phishing
47,http://hdfc-neu-4-six.vercel.app,HDFC Bank,Phishing
48,https://www.hdfcbank.speedynet.in/,HDFC Bank,Phishing
49,http://reward.wingiftscards.com,HDFC Bank,Phishing
50,www.hdfcbank.speedynet.in,HDFC Bank,Phishing
51,hdfcapp.intch.xyz,HDFC Bank,Phishing
52,hdfc-56790.zendesk.com,HDFC Bank,Phishing
